user_id,age,monthly_income,risk_profile
125,22,35000,Balanced
126,29,35000,Conservative
127,39,15000,Conservative
128,22,15000,Conservative
129,37,25000,Conservative
130,43,35000,Balanced
131,18,35000,Balanced
132,43,35000,Balanced
133,19,25000,Conservative
134,36,35000,Aggressive
135,22,50000,Balanced
136,33,35000,Conservative
137,44,50000,Balanced
138,20,35000,Balanced
139,36,50000,Balanced
140,18,100000,Aggressive
141,29,25000,Conservative
142,31,15000,Conservative
143,20,25000,Balanced
144,43,50000,Conservative
145,36,25000,Conservative
146,38,25000,Aggressive
147,41,50000,Aggressive
148,42,35000,Balanced
149,41,50000,Aggressive
150,33,15000,Conservative
151,41,75000,Balanced
152,29,35000,Balanced
153,42,25000,Conservative
154,34,35000,Aggressive
155,39,25000,Conservative
156,21,15000,Aggressive
157,29,25000,Aggressive
158,37,35000,Balanced
159,38,15000,Balanced
160,37,50000,Balanced
161,40,50000,Conservative
162,38,35000,Conservative
163,43,35000,Aggressive
164,28,50000,Aggressive
165,26,50000,Balanced
166,23,15000,Balanced
167,27,25000,Aggressive
168,19,15000,Conservative
169,36,35000,Aggressive
170,39,50000,Aggressive
171,42,35000,Conservative
172,36,50000,Balanced
173,44,25000,Conservative
174,20,25000,Balanced
175,43,50000,Balanced
176,26,50000,Balanced
177,42,25000,Conservative
178,41,35000,Balanced
179,43,15000,Aggressive
180,32,75000,Balanced
181,28,75000,Conservative
182,36,100000,Balanced
183,26,25000,Conservative
184,18,35000,Balanced
185,33,50000,Aggressive
186,27,100000,Aggressive
187,29,15000,Conservative
188,43,25000,Balanced
189,43,25000,Conservative
190,22,100000,Aggressive
191,39,15000,Conservative
192,38,50000,Balanced
193,30,75000,Aggressive
194,35,35000,Balanced
195,42,35000,Aggressive
196,35,35000,Conservative
197,41,25000,Aggressive
198,32,25000,Balanced
199,42,100000,Aggressive
200,30,15000,Conservative
201,18,15000,Conservative
202,34,35000,Balanced
203,20,35000,Balanced
204,22,50000,Conservative
205,38,35000,Conservative
206,36,25000,Conservative
207,18,50000,Balanced
208,25,15000,Balanced
209,39,50000,Balanced
210,29,50000,Aggressive
211,44,35000,Conservative
212,32,35000,Balanced
213,31,50000,Conservative
214,23,35000,Aggressive
215,35,35000,Conservative
216,44,15000,Balanced
217,42,35000,Balanced
218,40,35000,Balanced
219,21,35000,Aggressive
220,34,25000,Balanced
221,19,35000,Conservative
222,28,35000,Conservative
223,32,15000,Conservative
224,28,15000,Balanced
225,25,50000,Balanced
226,20,35000,Aggressive
227,43,25000,Aggressive
228,35,25000,Conservative
229,38,35000,Balanced
230,29,25000,Conservative
231,31,25000,Conservative
232,43,50000,Balanced
233,32,35000,Conservative
234,33,15000,Conservative
235,18,15000,Balanced
236,37,25000,Conservative
237,39,25000,Balanced
238,31,35000,Balanced
239,31,15000,Conservative
240,20,75000,Balanced
241,32,15000,Aggressive
242,23,35000,Conservative
243,42,50000,Conservative
244,24,25000,Conservative
245,43,35000,Conservative
246,30,35000,Balanced
247,20,35000,Balanced
248,21,35000,Balanced
249,25,35000,Balanced
250,27,25000,Conservative
251,43,35000,Conservative
252,44,100000,Balanced
253,18,15000,Conservative
254,23,25000,Conservative
255,28,15000,Aggressive
256,41,75000,Conservative
257,36,15000,Balanced
258,41,15000,Conservative
259,28,75000,Aggressive
260,34,35000,Balanced
261,42,50000,Balanced
262,43,25000,Balanced
263,23,100000,Balanced
264,37,35000,Conservative
265,32,50000,Balanced
266,23,35000,Conservative
267,21,25000,Balanced
268,23,25000,Conservative
269,40,35000,Conservative
270,25,50000,Conservative
271,22,15000,Conservative
272,32,35000,Balanced
273,34,75000,Balanced
274,35,15000,Balanced
275,26,25000,Conservative
276,18,50000,Balanced
277,25,50000,Balanced
278,20,25000,Aggressive
279,44,35000,Aggressive
280,42,75000,Conservative
281,25,35000,Balanced
282,36,35000,Balanced
283,32,35000,Conservative
284,32,25000,Balanced
285,25,25000,Balanced
286,23,75000,Balanced
287,25,50000,Conservative
288,32,35000,Balanced
289,24,35000,Aggressive
290,42,25000,Conservative
291,40,15000,Conservative
292,19,50000,Aggressive
293,18,15000,Balanced
294,32,50000,Conservative
295,41,35000,Balanced
296,32,35000,Balanced
297,44,35000,Balanced
298,21,50000,Balanced
299,37,25000,Aggressive
300,23,25000,Balanced
301,43,75000,Conservative
302,30,15000,Conservative
303,18,15000,Aggressive
304,29,15000,Aggressive
305,22,75000,Balanced
306,27,50000,Conservative
307,26,35000,Balanced
308,25,50000,Aggressive
309,18,15000,Aggressive
310,31,25000,Aggressive
311,18,75000,Balanced
312,25,35000,Conservative
313,38,25000,Aggressive
314,38,35000,Conservative
315,37,35000,Aggressive
316,19,35000,Balanced
317,44,35000,Conservative
318,29,75000,Conservative
319,42,35000,Balanced
320,41,25000,Balanced
321,28,35000,Conservative
322,38,35000,Aggressive
323,26,15000,Balanced
324,25,35000,Balanced
325,30,25000,Balanced
326,41,75000,Conservative
327,34,15000,Balanced
328,25,35000,Conservative
329,36,35000,Balanced
330,34,35000,Balanced
331,21,25000,Aggressive
332,24,50000,Conservative
333,36,35000,Balanced
334,40,100000,Aggressive
335,24,50000,Conservative
336,40,25000,Conservative
337,25,15000,Balanced
338,20,75000,Balanced
339,25,15000,Conservative
340,31,35000,Aggressive
341,33,25000,Balanced
342,38,35000,Conservative
343,35,15000,Conservative
344,40,50000,Conservative
345,36,35000,Balanced
346,19,75000,Balanced
347,28,25000,Conservative
348,40,15000,Aggressive
349,22,35000,Balanced
350,19,75000,Conservative
351,43,50000,Conservative
352,27,35000,Aggressive
353,40,50000,Balanced
354,36,35000,Balanced
355,19,35000,Conservative
356,39,35000,Balanced
357,43,35000,Conservative
358,40,50000,Aggressive
359,38,50000,Balanced
360,19,35000,Balanced
361,43,50000,Conservative
362,39,15000,Aggressive
363,23,50000,Conservative
364,30,50000,Conservative
365,30,50000,Balanced
366,43,35000,Conservative
367,39,50000,Conservative
368,21,50000,Conservative
369,28,25000,Conservative
370,34,50000,Balanced
371,39,35000,Balanced
372,39,15000,Balanced
373,43,15000,Conservative
374,20,50000,Aggressive
375,44,35000,Conservative
376,43,35000,Conservative
377,25,50000,Balanced
378,28,35000,Balanced
379,20,50000,Balanced
380,29,100000,Conservative
381,29,25000,Conservative
382,44,100000,Balanced
383,42,35000,Conservative
384,33,75000,Balanced
385,38,50000,Balanced
386,33,50000,Conservative
387,42,35000,Balanced
388,26,75000,Conservative
389,27,35000,Aggressive
390,43,35000,Aggressive
391,31,15000,Balanced
392,36,75000,Aggressive
393,40,50000,Balanced
394,37,50000,Conservative
395,27,35000,Balanced
396,41,25000,Conservative
397,19,75000,Balanced
398,43,50000,Conservative
399,32,50000,Balanced
400,39,25000,Balanced
401,33,35000,Aggressive
402,19,15000,Aggressive
403,44,75000,Balanced
404,20,15000,Conservative
405,34,35000,Balanced
406,42,35000,Conservative
407,42,50000,Balanced
408,24,35000,Balanced
409,34,15000,Conservative
410,35,25000,Conservative
411,42,25000,Aggressive
412,32,35000,Conservative
413,41,15000,Aggressive
414,22,50000,Conservative
415,23,100000,Aggressive
416,41,35000,Balanced
417,42,50000,Conservative
418,25,75000,Balanced
419,38,50000,Conservative
420,28,25000,Conservative
421,34,100000,Aggressive
422,22,15000,Aggressive
423,34,35000,Balanced
424,34,25000,Conservative
425,35,35000,Aggressive
426,20,50000,Conservative
427,41,50000,Conservative
428,21,35000,Conservative
429,26,25000,Conservative
430,26,15000,Aggressive
431,27,50000,Balanced
432,22,50000,Conservative
433,32,15000,Balanced
434,33,35000,Conservative
435,33,50000,Conservative
436,34,15000,Aggressive
437,36,50000,Conservative
438,19,35000,Aggressive
439,18,75000,Balanced
440,25,25000,Conservative
441,33,50000,Aggressive
442,42,75000,Conservative
443,44,50000,Conservative
444,28,100000,Balanced
445,40,15000,Aggressive
446,38,50000,Conservative
447,21,35000,Balanced
448,29,15000,Conservative
449,31,25000,Balanced
450,25,25000,Balanced
451,41,50000,Conservative
452,36,50000,Balanced
453,19,25000,Balanced
454,22,15000,Aggressive
455,21,15000,Conservative
456,34,50000,Balanced
457,39,25000,Balanced
458,44,75000,Aggressive
459,32,100000,Balanced
460,20,35000,Conservative
461,28,50000,Conservative
462,36,25000,Conservative
463,19,25000,Aggressive
464,34,15000,Aggressive
465,32,50000,Balanced
466,37,50000,Balanced
467,37,50000,Conservative
468,34,100000,Conservative
469,38,75000,Aggressive
470,37,25000,Conservative
471,20,25000,Conservative
472,23,25000,Conservative
473,34,50000,Conservative
474,32,35000,Balanced
475,31,25000,Conservative
476,25,50000,Aggressive
477,37,15000,Balanced
478,29,15000,Aggressive
479,20,25000,Balanced
480,31,35000,Balanced
481,37,35000,Conservative
482,42,25000,Balanced
483,38,25000,Balanced
484,28,100000,Conservative
485,38,15000,Conservative
486,31,100000,Balanced
487,28,50000,Aggressive
488,23,75000,Balanced
489,36,15000,Conservative
490,42,35000,Conservative
491,39,35000,Balanced
492,27,50000,Aggressive
493,18,35000,Conservative
494,30,15000,Aggressive
495,43,25000,Conservative
496,24,25000,Balanced
497,32,25000,Conservative
498,34,100000,Conservative
499,44,15000,Aggressive
500,24,35000,Conservative
