transaction_id,user_id,age,monthly_income,risk_profile,transaction_date,transaction_hour,category,merchant,amount,payment_method,device,is_salary_day_near,is_late_night,ad_clicked,discount_used,cashback_used,mood_score,financial_stress_level,impulse_purchase
27,153,42,25000,Conservative,2025-09-04,1,EMI,Zomato,10114.93,UPI,Desktop,1,1,1,0,1,6,10,1
28,209,39,50000,Balanced,2025-09-28,0,Health,Uber,2911.42,BNPL,Mobile,0,1,1,0,0,6,6,1
29,470,37,25000,Conservative,2025-09-01,13,EMI,Zomato,7821.56,UPI,Mobile,1,0,0,0,0,2,6,0
30,76,33,50000,Aggressive,2025-12-23,7,EMI,Croma,7075.39,UPI,Mobile,0,0,1,0,0,4,2,0
31,457,39,25000,Balanced,2025-04-10,20,Travel,Croma,9007.91,Credit Card,Tablet,0,0,0,1,0,4,9,1
32,171,42,35000,Conservative,2025-01-14,23,Fashion,BigBasket,2714.98,Credit Card,Mobile,0,1,0,0,0,2,3,1
33,492,27,50000,Aggressive,2025-04-12,11,EMI,Croma,2879.27,Debit Card,Mobile,0,0,0,0,0,1,1,0
34,197,41,25000,Aggressive,2025-08-01,20,Entertainment,Swiggy,900.52,UPI,Mobile,1,0,0,0,0,2,0,0
35,310,31,25000,Aggressive,2025-10-31,22,Investment,PhonePe,10652.74,UPI,Mobile,0,1,0,0,0,5,8,0
36,235,18,15000,Balanced,2025-04-12,4,Entertainment,Zomato,1235.24,UPI,Mobile,0,0,0,1,0,3,1,0
37,109,19,15000,Balanced,2025-10-18,11,Health,BigBasket,1447.97,UPI,Desktop,0,0,1,0,0,2,1,0
38,49,30,75000,Conservative,2025-03-22,7,EMI,PhonePe,5733.99,UPI,Desktop,0,0,0,0,0,7,1,0
39,349,22,35000,Balanced,2025-03-27,21,Entertainment,Groww,690.29,UPI,Mobile,0,0,0,0,0,1,0,0
40,497,32,25000,Conservative,2025-02-07,11,Utilities,Netflix,927.66,UPI,Desktop,0,0,0,0,0,2,0,0
41,77,39,50000,Balanced,2025-02-23,22,Entertainment,Paytm,282.4,UPI,Mobile,0,1,0,1,0,1,2,1
42,199,42,100000,Aggressive,2025-07-05,12,Rent,Paytm,13949.14,UPI,Mobile,1,0,0,0,0,6,2,0
43,295,41,35000,Balanced,2025-06-07,11,Education,Uber,1367.41,Credit Card,Mobile,0,0,0,0,1,4,0,0
44,230,29,25000,Conservative,2025-12-15,20,Health,Uber,492.57,Credit Card,Mobile,0,0,1,0,0,10,0,0
45,481,37,35000,Conservative,2025-04-14,2,Electronics,Amazon,14116.42,UPI,Mobile,0,1,1,0,0,9,10,1
46,245,43,35000,Conservative,2025-03-18,9,Travel,Groww,100.0,BNPL,Mobile,0,0,0,1,1,7,3,0
47,275,26,25000,Conservative,2025-12-18,1,EMI,BigBasket,7757.57,Credit Card,Mobile,0,1,0,1,0,9,8,1
48,226,20,35000,Aggressive,2025-01-06,2,Rent,Amazon,12448.64,UPI,Mobile,0,1,0,0,0,5,7,0
49,452,36,50000,Balanced,2025-05-04,4,Education,Myntra,2597.42,UPI,Mobile,1,0,1,1,0,2,1,0
50,227,43,25000,Aggressive,2025-04-24,4,Electronics,Netflix,19464.66,Cash,Desktop,0,0,1,0,1,2,10,1
51,186,27,100000,Aggressive,2025-03-21,7,Travel,Flipkart,10382.69,UPI,Mobile,0,0,0,0,0,9,2,0
52,373,43,15000,Conservative,2025-02-20,4,Entertainment,Paytm,761.46,UPI,Mobile,0,0,0,0,1,9,1,0
53,166,23,15000,Balanced,2025-09-29,7,Fashion,Myntra,3939.76,BNPL,Desktop,0,0,1,1,1,3,10,1
54,307,26,35000,Balanced,2025-08-21,4,Rent,Paytm,7350.62,Credit Card,Mobile,0,0,0,0,1,9,4,0
55,378,28,35000,Balanced,2025-05-25,18,Travel,Croma,5640.81,Credit Card,Mobile,0,0,0,0,0,10,3,0
56,431,27,50000,Balanced,2025-09-21,16,Rent,Myntra,12520.79,Credit Card,Mobile,0,0,0,0,1,10,5,0
57,284,32,25000,Balanced,2025-11-03,17,Entertainment,BigBasket,539.44,UPI,Desktop,1,0,1,0,0,3,2,1
58,199,42,100000,Aggressive,2025-01-13,17,Electronics,Amazon,13113.59,UPI,Mobile,0,0,0,1,0,6,2,0
59,374,20,50000,Aggressive,2025-08-13,6,Investment,Swiggy,2727.33,Debit Card,Mobile,0,0,0,1,0,10,1,0
60,268,23,25000,Conservative,2025-08-28,20,Utilities,Myntra,2222.67,UPI,Mobile,0,0,0,0,0,6,1,0
61,422,22,15000,Aggressive,2025-07-21,11,Electronics,Myntra,8141.1,Debit Card,Desktop,0,0,0,0,0,3,10,1
62,100,35,35000,Aggressive,2025-10-16,8,EMI,Croma,7914.84,Credit Card,Desktop,0,0,0,1,0,9,4,0
63,417,42,50000,Conservative,2025-01-05,21,Investment,Paytm,4276.93,BNPL,Mobile,1,0,0,0,0,3,4,0
64,161,40,50000,Conservative,2025-10-26,0,Fashion,BigBasket,2084.31,UPI,Desktop,0,1,0,0,1,7,0,0
65,53,41,50000,Conservative,2025-06-01,6,Health,PhonePe,2238.35,Credit Card,Desktop,1,0,0,1,0,3,0,0
66,453,19,25000,Balanced,2025-02-17,6,Entertainment,PhonePe,685.26,Debit Card,Desktop,0,0,0,1,0,3,0,0
67,153,42,25000,Conservative,2025-07-07,4,Utilities,PhonePe,2548.4,UPI,Mobile,0,0,0,0,0,2,2,0
68,409,34,15000,Conservative,2025-11-06,12,Electronics,Swiggy,13394.9,Credit Card,Mobile,0,0,1,0,0,7,10,1
69,205,38,35000,Conservative,2025-07-15,18,Travel,Paytm,5376.86,UPI,Mobile,0,0,1,0,0,3,5,1
70,352,27,35000,Aggressive,2025-10-07,19,Travel,Zomato,9928.11,UPI,Mobile,0,0,0,1,0,9,5,0
71,31,26,35000,Conservative,2025-05-16,23,Health,Myntra,1650.09,UPI,Mobile,0,1,0,1,0,5,0,0
72,211,44,35000,Conservative,2025-01-06,10,Entertainment,Amazon,552.89,BNPL,Mobile,0,0,0,0,0,2,5,1
73,50,25,35000,Balanced,2025-11-18,16,Electronics,PhonePe,14897.78,UPI,Mobile,0,0,0,0,0,4,10,1
74,152,29,35000,Balanced,2025-04-10,21,Food Delivery,Flipkart,213.51,UPI,Mobile,0,0,0,0,1,3,0,0
75,454,22,15000,Aggressive,2025-04-21,20,Food Delivery,Paytm,193.73,Credit Card,Desktop,0,0,1,0,1,8,2,1
76,198,32,25000,Balanced,2025-09-17,2,Fashion,Croma,1957.03,UPI,Tablet,0,1,0,0,1,4,3,1
77,401,33,35000,Aggressive,2025-07-20,3,Groceries,Flipkart,1109.95,Debit Card,Tablet,0,0,0,1,0,1,0,0
78,180,32,75000,Balanced,2025-11-27,1,Utilities,Paytm,1067.84,Debit Card,Mobile,0,1,0,0,0,9,0,0
79,194,35,35000,Balanced,2025-04-09,6,Groceries,Myntra,360.4,Credit Card,Mobile,0,0,0,0,0,10,0,0
80,473,34,50000,Conservative,2025-09-05,13,Food Delivery,Croma,526.32,UPI,Mobile,1,0,0,0,1,3,0,0
81,194,35,35000,Balanced,2025-12-20,6,Utilities,Amazon,3091.32,Debit Card,Desktop,0,0,1,0,0,2,1,0
82,5,39,15000,Balanced,2025-01-28,12,Electronics,Groww,19957.72,UPI,Mobile,0,0,0,0,1,7,10,0
83,178,41,35000,Balanced,2025-03-11,1,Education,BigBasket,4389.91,Credit Card,Mobile,0,1,0,0,0,1,4,1
84,333,36,35000,Balanced,2025-07-28,10,Fashion,Uber,3345.78,UPI,Mobile,0,0,0,0,0,7,1,0
85,482,42,25000,Balanced,2025-05-09,13,EMI,Paytm,8049.16,Debit Card,Mobile,0,0,1,0,0,6,6,0
86,242,23,35000,Conservative,2025-05-03,13,Food Delivery,Uber,100.0,Debit Card,Desktop,1,0,0,1,0,8,0,0
87,101,19,25000,Conservative,2025-12-03,23,Entertainment,Paytm,785.67,Credit Card,Mobile,1,1,1,0,1,8,2,1
88,78,28,75000,Balanced,2025-05-18,21,EMI,Swiggy,6450.94,Credit Card,Mobile,0,0,0,1,0,3,1,0
89,31,26,35000,Conservative,2025-06-05,12,Electronics,Flipkart,14493.65,Credit Card,Mobile,1,0,0,0,0,2,10,1
90,439,18,75000,Balanced,2025-10-07,17,Health,Myntra,1927.57,Credit Card,Mobile,0,0,0,1,1,2,2,1
91,329,36,35000,Balanced,2025-02-13,4,Education,PhonePe,5011.23,UPI,Desktop,0,0,1,1,1,4,4,1
92,185,33,50000,Aggressive,2025-06-10,15,Fashion,Myntra,4874.85,BNPL,Mobile,0,0,1,0,0,3,6,1
93,455,21,15000,Conservative,2025-05-27,4,Electronics,Paytm,15397.08,UPI,Mobile,0,0,0,0,1,4,10,1
94,196,35,35000,Conservative,2025-03-25,3,Utilities,Groww,2325.7,UPI,Mobile,0,0,0,0,1,7,1,0
95,228,35,25000,Conservative,2025-01-30,15,Fashion,Swiggy,3178.11,Debit Card,Mobile,0,0,0,1,0,8,2,0
96,177,42,25000,Conservative,2025-08-23,16,Groceries,Amazon,1032.15,Debit Card,Mobile,0,0,0,0,1,10,0,0
97,108,31,75000,Conservative,2025-12-25,6,Food Delivery,Flipkart,482.88,Debit Card,Desktop,0,0,1,0,0,2,2,1
98,255,28,15000,Aggressive,2025-02-16,0,Electronics,Swiggy,11312.03,UPI,Mobile,0,1,0,1,1,5,10,1
99,133,19,25000,Conservative,2025-05-01,9,Health,Swiggy,2443.24,UPI,Mobile,1,0,0,0,1,3,1,0
100,171,42,35000,Conservative,2025-06-06,1,Food Delivery,Swiggy,381.51,Cash,Tablet,0,1,1,0,0,5,2,1
101,131,18,35000,Balanced,2025-09-04,22,Entertainment,Paytm,862.42,UPI,Desktop,1,1,0,0,1,5,0,0
102,462,36,25000,Conservative,2025-08-27,20,Utilities,Amazon,1860.57,Debit Card,Mobile,0,0,1,0,0,1,1,0
103,489,36,15000,Conservative,2025-05-16,2,Investment,Croma,4047.86,Credit Card,Mobile,0,1,1,0,0,7,7,1
104,368,21,50000,Conservative,2025-10-17,4,Education,Groww,3574.14,UPI,Mobile,0,0,0,0,0,5,1,0
105,386,33,50000,Conservative,2025-12-04,4,Fashion,Myntra,4511.49,Credit Card,Mobile,1,0,1,0,0,7,3,1
106,492,27,50000,Aggressive,2025-05-06,11,Investment,Swiggy,3084.39,UPI,Mobile,0,0,0,0,0,7,1,0
107,56,34,100000,Conservative,2025-09-08,3,Electronics,Flipkart,7018.92,Cash,Mobile,0,0,0,0,0,2,1,0
108,273,34,75000,Balanced,2025-07-25,1,Travel,BigBasket,4400.78,UPI,Mobile,0,1,0,0,1,8,1,0
109,117,25,50000,Aggressive,2025-09-09,7,EMI,PhonePe,7213.97,Debit Card,Tablet,0,0,1,0,0,7,2,0
110,432,22,50000,Conservative,2025-02-27,15,Rent,Zomato,11856.57,UPI,Mobile,0,0,0,1,1,10,4,0
111,300,23,25000,Balanced,2025-03-20,15,Education,Groww,2256.1,UPI,Desktop,0,0,0,1,0,10,1,0
112,432,22,50000,Conservative,2025-11-15,3,EMI,Zomato,3813.71,UPI,Mobile,0,0,0,1,0,10,1,0
113,326,41,75000,Conservative,2025-01-04,4,Entertainment,Amazon,897.94,Debit Card,Mobile,1,0,0,0,1,7,0,0
114,97,40,25000,Balanced,2025-10-20,14,Health,Groww,1802.85,Credit Card,Mobile,0,0,0,1,0,5,1,0
115,403,44,75000,Balanced,2025-05-16,11,Investment,Croma,1773.71,UPI,Desktop,0,0,0,0,0,4,0,0
116,37,44,35000,Balanced,2025-03-23,1,Travel,Zomato,10742.79,Credit Card,Mobile,0,1,0,0,0,5,8,1
117,14,42,100000,Aggressive,2025-09-12,1,EMI,Croma,5160.22,Credit Card,Mobile,0,1,0,0,1,5,1,0
118,413,41,15000,Aggressive,2025-12-18,4,Health,Zomato,1699.48,Debit Card,Mobile,0,0,1,0,0,4,2,0
119,327,34,15000,Balanced,2025-08-17,3,Entertainment,Myntra,350.91,Debit Card,Mobile,0,0,0,1,0,8,0,0
120,244,24,25000,Conservative,2025-04-21,2,Rent,Amazon,16509.71,Credit Card,Mobile,0,1,0,1,1,4,10,1
121,138,20,35000,Balanced,2025-08-21,14,Food Delivery,PhonePe,335.31,Credit Card,Mobile,0,0,1,1,1,7,2,1
122,193,30,75000,Aggressive,2025-07-08,14,Electronics,Uber,10574.87,BNPL,Mobile,0,0,0,0,1,6,5,0
123,379,20,50000,Balanced,2025-03-27,20,Entertainment,Amazon,837.37,Debit Card,Mobile,0,0,0,0,0,3,0,0
124,137,44,50000,Balanced,2025-03-29,10,Groceries,BigBasket,1322.3,BNPL,Mobile,0,0,1,0,0,9,3,0
125,494,30,15000,Aggressive,2025-03-08,23,Entertainment,BigBasket,811.83,Credit Card,Mobile,0,1,0,0,0,2,3,1
126,362,39,15000,Aggressive,2025-09-01,6,EMI,BigBasket,6363.35,UPI,Mobile,1,0,0,1,1,8,8,0
127,483,38,25000,Balanced,2025-05-25,21,Electronics,BigBasket,22149.49,UPI,Mobile,0,0,0,0,0,4,10,1
128,112,37,15000,Conservative,2025-10-29,1,Health,Uber,4470.44,Debit Card,Mobile,0,1,0,1,0,4,7,1
129,356,39,35000,Balanced,2025-06-24,10,Fashion,Paytm,2514.0,Debit Card,Mobile,0,0,0,0,0,9,1,0
130,317,44,35000,Conservative,2025-09-26,13,Investment,BigBasket,3035.22,Credit Card,Mobile,0,0,0,0,0,8,1,0
131,77,39,50000,Balanced,2025-06-01,20,Groceries,Zomato,498.75,UPI,Mobile,1,0,1,1,0,1,0,0
132,236,37,25000,Conservative,2025-09-05,23,Groceries,Flipkart,1528.98,Debit Card,Mobile,1,1,0,1,0,7,1,0
133,422,22,15000,Aggressive,2025-12-31,1,Travel,Uber,5941.41,Credit Card,Mobile,0,1,0,0,1,4,9,1
134,406,42,35000,Conservative,2025-07-29,13,Education,Netflix,2302.52,BNPL,Mobile,0,0,0,1,0,5,4,0
135,294,32,50000,Conservative,2025-04-04,10,Rent,Groww,13085.71,BNPL,Tablet,1,0,0,0,0,8,8,0
136,369,28,25000,Conservative,2025-08-15,0,Health,Uber,1323.03,Cash,Mobile,0,1,0,0,0,3,1,0
137,127,39,15000,Conservative,2025-02-14,6,Rent,Zomato,8995.04,Credit Card,Mobile,0,0,0,0,0,3,10,1
138,343,35,15000,Conservative,2025-01-02,14,EMI,Croma,3813.47,Credit Card,Desktop,1,0,1,0,0,4,7,1
139,189,43,25000,Conservative,2025-11-29,3,EMI,Amazon,7514.67,UPI,Tablet,0,0,0,0,1,10,6,0
140,183,26,25000,Conservative,2025-07-13,15,Rent,Amazon,7426.57,Cash,Mobile,0,0,0,0,0,7,5,0
141,172,36,50000,Balanced,2025-10-22,12,Fashion,BigBasket,1477.78,Debit Card,Mobile,0,0,0,0,0,4,0,0
142,58,22,25000,Balanced,2025-08-30,17,Education,Swiggy,4043.61,Debit Card,Mobile,0,0,0,0,0,10,3,0
143,275,26,25000,Conservative,2025-05-29,9,Investment,Flipkart,1229.4,UPI,Mobile,0,0,0,0,0,8,0,0
144,100,35,35000,Aggressive,2025-11-08,18,Education,Myntra,2890.39,Credit Card,Mobile,0,0,0,0,1,5,1,0
145,83,21,25000,Conservative,2025-05-16,6,Electronics,Zomato,17220.27,Credit Card,Mobile,0,0,0,0,0,6,10,1
146,305,22,75000,Balanced,2025-09-10,11,Electronics,Paytm,7304.83,Credit Card,Tablet,0,0,0,1,0,8,1,0
147,288,32,35000,Balanced,2025-11-07,10,Food Delivery,Paytm,555.6,UPI,Desktop,0,0,1,1,0,10,0,0
148,117,25,50000,Aggressive,2025-07-23,8,Investment,Paytm,3031.25,UPI,Mobile,0,0,0,1,0,5,1,0
149,425,35,35000,Aggressive,2025-12-21,18,Groceries,Flipkart,869.39,Cash,Mobile,0,0,0,0,0,2,0,0
150,171,42,35000,Conservative,2025-11-15,2,Entertainment,Swiggy,480.4,UPI,Tablet,0,1,1,1,1,6,2,1
151,356,39,35000,Balanced,2025-06-29,16,Entertainment,PhonePe,989.36,Credit Card,Desktop,0,0,0,0,0,9,0,0
152,349,22,35000,Balanced,2025-04-01,16,Fashion,BigBasket,2678.27,Credit Card,Desktop,1,0,1,0,0,10,3,1
153,232,43,50000,Balanced,2025-10-11,0,Groceries,Uber,631.68,UPI,Mobile,0,1,0,0,1,9,0,0
154,469,38,75000,Aggressive,2025-08-26,6,Travel,Uber,9727.34,Credit Card,Mobile,0,0,0,0,1,9,2,0
155,241,32,15000,Aggressive,2025-06-08,4,Fashion,Swiggy,2524.17,Credit Card,Mobile,0,0,0,0,1,1,5,1
156,322,38,35000,Aggressive,2025-11-05,5,Travel,BigBasket,6621.66,Credit Card,Mobile,1,0,0,0,0,8,3,0
157,494,30,15000,Aggressive,2025-12-18,18,Utilities,Zomato,1283.82,Debit Card,Desktop,0,0,1,1,0,3,1,0
158,413,41,15000,Aggressive,2025-03-23,2,Entertainment,PhonePe,768.58,UPI,Mobile,0,1,0,0,0,5,1,0
159,264,37,35000,Conservative,2025-02-07,2,Fashion,Groww,801.89,Credit Card,Mobile,0,1,1,1,0,3,2,1
160,391,31,15000,Balanced,2025-09-01,7,Entertainment,BigBasket,1197.4,BNPL,Mobile,1,0,1,1,0,7,6,1
161,254,23,25000,Conservative,2025-09-26,16,Investment,Amazon,7466.31,Cash,Mobile,0,0,0,0,1,5,5,0
162,498,34,100000,Conservative,2025-12-26,17,EMI,Uber,4137.34,Debit Card,Mobile,0,0,1,0,0,8,0,0
163,172,36,50000,Balanced,2025-01-12,23,Investment,PhonePe,5739.35,UPI,Mobile,0,1,1,0,1,1,4,1
164,168,19,15000,Conservative,2025-06-18,4,Investment,Uber,718.6,UPI,Mobile,0,0,1,1,0,3,0,0
165,450,25,25000,Balanced,2025-08-16,14,Health,Croma,826.72,Debit Card,Tablet,0,0,0,0,0,4,0,0
166,72,43,100000,Balanced,2025-08-12,6,Education,Flipkart,1857.86,Credit Card,Desktop,0,0,1,0,0,9,0,0
167,280,42,75000,Conservative,2025-09-05,22,Electronics,PhonePe,11511.68,UPI,Desktop,1,1,0,0,0,6,5,1
168,214,23,35000,Aggressive,2025-06-12,8,Utilities,Uber,795.16,UPI,Mobile,0,0,1,1,0,7,0,0
169,291,40,15000,Conservative,2025-04-28,7,Travel,Amazon,7134.55,Credit Card,Mobile,0,0,0,0,1,9,9,0
170,136,33,35000,Conservative,2025-07-25,6,Utilities,Myntra,1114.05,Credit Card,Mobile,0,0,0,0,0,7,0,0
171,235,18,15000,Balanced,2025-09-16,18,Electronics,Myntra,11246.14,Credit Card,Desktop,0,0,0,0,1,10,10,1
172,37,44,35000,Balanced,2025-05-07,9,EMI,Flipkart,5190.37,UPI,Mobile,0,0,1,0,0,7,2,0
173,1,24,50000,Conservative,2025-10-29,22,Electronics,Groww,4740.64,UPI,Mobile,0,1,1,0,0,5,3,1
174,417,42,50000,Conservative,2025-07-10,20,Utilities,Myntra,1806.57,Credit Card,Desktop,0,0,0,0,0,7,0,0
175,118,27,25000,Balanced,2025-05-07,15,Electronics,PhonePe,19461.92,UPI,Mobile,0,0,0,0,1,5,10,0
176,52,32,25000,Conservative,2025-10-04,19,Entertainment,Uber,1148.61,Credit Card,Mobile,1,0,1,0,0,2,2,1
177,216,44,15000,Balanced,2025-07-19,18,Investment,Myntra,4898.34,Credit Card,Mobile,0,0,0,1,0,10,6,0
178,77,39,50000,Balanced,2025-01-06,10,Utilities,Myntra,2591.78,Debit Card,Mobile,0,0,0,1,1,2,1,0
179,113,28,15000,Balanced,2025-01-21,1,Entertainment,Paytm,1321.19,UPI,Mobile,0,1,0,0,1,7,1,0
180,11,36,25000,Aggressive,2025-11-13,22,Entertainment,Swiggy,680.71,Credit Card,Mobile,0,1,0,1,0,4,2,1
181,373,43,15000,Conservative,2025-10-31,1,Investment,BigBasket,7598.69,UPI,Mobile,0,1,0,0,0,10,10,0
182,298,21,50000,Balanced,2025-05-06,11,Investment,Amazon,6837.99,Credit Card,Mobile,0,0,0,0,0,9,2,0
183,27,18,25000,Conservative,2025-04-21,4,Investment,Myntra,3401.03,BNPL,Mobile,0,0,0,0,0,7,5,0
184,101,19,25000,Conservative,2025-12-21,17,Groceries,PhonePe,1517.03,Debit Card,Mobile,0,0,0,1,0,7,1,0
185,331,21,25000,Aggressive,2025-04-02,9,EMI,Groww,2096.51,UPI,Desktop,1,0,0,0,0,9,1,0
186,242,23,35000,Conservative,2025-03-06,2,Fashion,Netflix,133.26,Debit Card,Mobile,0,1,0,0,0,8,0,0
187,380,29,100000,Conservative,2025-04-02,22,Fashion,Zomato,2850.81,UPI,Mobile,1,1,0,1,0,6,0,0
188,99,43,75000,Conservative,2025-01-11,17,Entertainment,Zomato,698.56,UPI,Desktop,0,0,0,0,0,2,0,0
189,158,37,35000,Balanced,2025-02-03,10,Food Delivery,Netflix,414.97,Debit Card,Desktop,1,0,0,1,0,4,0,0
190,305,22,75000,Balanced,2025-03-20,18,Education,Myntra,2084.1,BNPL,Mobile,0,0,0,1,1,5,3,0
191,331,21,25000,Aggressive,2025-03-07,19,EMI,BigBasket,2515.67,UPI,Tablet,0,0,0,0,1,7,2,0
192,212,32,35000,Balanced,2025-08-30,15,Entertainment,Groww,847.32,BNPL,Mobile,0,0,1,0,0,8,5,1
193,205,38,35000,Conservative,2025-02-17,23,Electronics,Netflix,781.93,Credit Card,Mobile,0,1,0,0,1,1,2,1
194,114,38,25000,Aggressive,2025-04-09,10,Groceries,Swiggy,1016.98,Debit Card,Desktop,0,0,0,0,0,6,0,0
195,404,20,15000,Conservative,2025-03-08,8,Electronics,Paytm,10982.83,Debit Card,Mobile,0,0,0,0,0,7,10,0
196,349,22,35000,Balanced,2025-03-07,7,Rent,Croma,13363.42,Debit Card,Mobile,0,0,0,0,0,6,7,0
197,294,32,50000,Conservative,2025-09-02,5,Groceries,Myntra,1291.01,UPI,Desktop,1,0,1,0,1,9,0,0
198,438,19,35000,Aggressive,2025-02-25,8,EMI,Amazon,8359.72,Debit Card,Desktop,0,0,1,1,1,9,6,1
199,196,35,35000,Conservative,2025-06-22,5,Rent,BigBasket,16490.8,Debit Card,Mobile,0,0,0,0,0,9,9,0
200,79,25,35000,Conservative,2025-02-07,20,Health,Groww,2137.64,Credit Card,Desktop,0,0,0,0,0,6,1,0
201,379,20,50000,Balanced,2025-10-14,23,Travel,Flipkart,5470.83,UPI,Mobile,0,1,1,1,0,5,2,0
202,208,25,15000,Balanced,2025-03-09,18,Health,PhonePe,1686.42,UPI,Desktop,0,0,1,1,1,4,4,1
203,230,29,25000,Conservative,2025-11-05,14,Fashion,BigBasket,2218.33,UPI,Mobile,1,0,0,0,1,2,1,0
204,328,25,35000,Conservative,2025-12-21,19,Utilities,PhonePe,2569.25,UPI,Mobile,0,0,0,1,1,8,1,0
205,350,19,75000,Conservative,2025-09-19,13,Food Delivery,Paytm,453.0,UPI,Mobile,0,0,0,1,0,9,0,0
206,42,30,15000,Conservative,2025-08-21,1,Electronics,Groww,15123.23,BNPL,Mobile,0,1,1,1,0,6,10,1
207,36,43,25000,Conservative,2025-04-07,18,Rent,Croma,21048.7,Credit Card,Mobile,0,0,0,0,1,9,10,0
208,183,26,25000,Conservative,2025-05-17,14,Utilities,Myntra,1809.37,UPI,Mobile,0,0,1,0,0,7,1,0
209,495,43,25000,Conservative,2025-01-21,11,Food Delivery,Netflix,365.85,UPI,Tablet,0,0,0,1,0,10,0,0
210,408,24,35000,Balanced,2025-09-07,7,Education,Netflix,4499.53,UPI,Mobile,0,0,0,1,0,2,2,0
211,477,37,15000,Balanced,2025-10-19,2,EMI,Paytm,7542.02,UPI,Mobile,0,1,0,1,1,9,10,1
212,3,36,15000,Balanced,2025-07-15,0,Health,Netflix,1321.72,UPI,Mobile,0,1,0,0,0,10,1,0
213,309,18,15000,Aggressive,2025-06-05,7,Fashion,PhonePe,4408.91,Debit Card,Mobile,1,0,0,0,1,5,5,0
214,318,29,75000,Conservative,2025-08-30,20,Rent,Flipkart,7568.78,UPI,Desktop,0,0,0,1,1,1,2,0
215,37,44,35000,Balanced,2025-11-09,14,Education,Groww,3475.9,Debit Card,Mobile,0,0,0,0,0,8,1,0
216,418,25,75000,Balanced,2025-01-03,6,Rent,Croma,17582.77,Debit Card,Mobile,1,0,1,0,0,2,6,1
